[Gen:001/100] Fitness(norm) : (best=100.0000, avg=94.0070, worst=90.0000) | Coverage(best)=91.04% (target=90.00%) | Numb of sensors : (min=20, avg=96.7, max=148) | BestSensors=20 (corner=8)
[Profile Gen 001] fitness=3.905s | selection=0.000s | repro=3.519s (crossover=2.188s, mutation=1.330s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.189s | prefix=0.073s | score=0.008s | pop=100 

[Gen:002/100] Fitness(norm) : (best=100.0000, avg=86.8159, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=65.2, max=89) | BestSensors=20 (corner=8)
[Profile Gen 002] fitness=2.806s | selection=0.000s | repro=2.055s (crossover=1.064s, mutation=0.990s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.176s | prefix=0.073s | score=0.008s | pop=100 

[Gen:003/100] Fitness(norm) : (best=100.0000, avg=20.3682, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=52.5, max=64) | BestSensors=20 (corner=8)
[Profile Gen 003] fitness=2.295s | selection=0.000s | repro=1.889s (crossover=0.780s, mutation=1.108s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.175s | prefix=0.053s | score=0.005s | pop=100 

[Gen:004/100] Fitness(norm) : (best=100.0000, avg=6.5282, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=51.2, max=59) | BestSensors=20 (corner=8)
[Profile Gen 004] fitness=2.265s | selection=0.000s | repro=1.488s (crossover=0.571s, mutation=0.917s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.175s | prefix=0.073s | score=0.008s | pop=100 

[Gen:005/100] Fitness(norm) : (best=100.0000, avg=2.8400, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=49.3, max=55) | BestSensors=20 (corner=8)
[Profile Gen 005] fitness=2.178s | selection=0.000s | repro=1.475s (crossover=0.433s, mutation=1.041s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.173s | prefix=0.073s | score=0.008s | pop=100 

[Gen:006/100] Fitness(norm) : (best=100.0000, avg=1.9182, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=48.2, max=53) | BestSensors=20 (corner=8)
[Profile Gen 006] fitness=2.025s | selection=0.000s | repro=1.552s (crossover=0.354s, mutation=1.197s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.150s | prefix=0.073s | score=0.008s | pop=100 

[Gen:007/100] Fitness(norm) : (best=100.0000, avg=1.9182, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=20, avg=47.4, max=53) | BestSensors=20 (corner=8)
